City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Wanning,CN,2022-12-08 02:07:17,18.8003,110.3967,72.07,84,98,9.78
59,Severo-Yeniseyskiy,RU,2022-12-08 02:07:17,60.3725,93.0408,2.26,92,100,11.99
60,Bethel,US,2022-12-08 02:04:50,41.3712,-73.414,57.2,89,100,8.05
61,Lasa,IT,2022-12-08 02:07:18,46.6166,10.7002,26.02,89,33,1.72
62,Mataura,NZ,2022-12-08 02:04:45,-46.1927,168.8643,71.8,48,100,3.38
63,Muzhi,RU,2022-12-08 02:07:18,65.3667,64.6667,11.34,88,100,7.27
64,Itoman,JP,2022-12-08 02:04:11,26.1247,127.6694,75.22,57,40,20.71
65,Asuncion,PY,2022-12-08 02:05:40,-25.3007,-57.6359,87.24,62,0,4.61
66,Yulara,AU,2022-12-08 02:07:20,-25.2406,130.9889,91.92,17,8,18.9
67,Port Blair,IN,2022-12-08 02:07:20,11.6667,92.75,80.37,80,45,7.43
68,Nhulunbuy,AU,2022-12-08 02:07:20,-12.2333,136.7667,92.01,49,20,5.75
69,Nikolskoye,RU,2022-12-08 02:07:21,59.7035,30.7861,24.69,89,100,12.41
70,Soller,ES,2022-12-08 02:07:21,39.7662,2.7152,56.35,96,11,1.99
71,Malibu,US,2022-12-08 02:02:43,34.005,-118.8101,57.09,83,0,6.76
72,Pontes E Lacerda,BR,2022-12-08 02:07:22,-15.2261,-59.3353,74.35,85,98,3.0
73,Chuy,UY,2022-12-08 02:02:43,-33.6971,-53.4616,65.14,93,11,9.98
74,San Patricio,US,2022-12-08 02:07:22,28.017,-97.5169,75.07,89,0,13.09
75,Punakha,BT,2022-12-08 02:07:23,27.5837,89.8598,58.03,56,8,0.36
76,Port Alfred,ZA,2022-12-08 02:04:44,-33.5906,26.891,68.18,94,100,1.99
77,Hun,LY,2022-12-08 02:07:23,29.1268,15.9477,64.38,31,100,7.14
78,Arraial Do Cabo,BR,2022-12-08 02:07:24,-22.9661,-42.0278,73.58,91,0,12.62
79,Bonfim,BR,2022-12-08 02:07:24,3.0833,-59.95,77.63,82,100,2.17
