City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ahipara,NZ,-35.1667,173.1667,68.76,89,74,9.4,broken clouds
80,Taree,AU,-31.9,152.4667,70.07,61,100,4.54,overcast clouds
81,Promyshlennovskiy,RU,55.4833,86.2,0.37,88,100,12.44,overcast clouds
82,Shenjiamen,CN,29.9576,122.298,54.97,90,100,16.08,overcast clouds
83,Puerto El Triunfo,SV,13.2833,-88.55,75.97,73,10,4.21,clear sky
84,Luba,GQ,3.4568,8.5547,80.49,78,4,4.65,clear sky
85,Seymchan,RU,62.8833,152.4333,-39.87,97,100,1.16,overcast clouds
86,East London,ZA,-33.0153,27.9116,71.56,85,89,8.61,overcast clouds
87,Avarua,CK,-21.2078,-159.775,75.25,88,20,9.22,light rain
88,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,9.22,broken clouds
89,Rio Grande,BR,-32.035,-52.0986,72.73,82,73,18.81,light rain
90,Pontes E Lacerda,BR,-15.2261,-59.3353,77.99,76,96,2.24,overcast clouds
91,Mataura,NZ,-46.1927,168.8643,63.48,86,99,5.88,overcast clouds
92,Lebu,CL,-37.6167,-73.65,57.29,85,89,7.63,overcast clouds
93,Yar-Sale,RU,66.8333,70.8333,1.65,93,100,14.43,overcast clouds
94,Georgetown,MY,5.4112,100.3354,82.33,84,20,8.05,few clouds
95,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.01,93,5,7.14,clear sky
96,Pinega,RU,64.7001,43.3936,9.05,95,98,7.72,overcast clouds
97,Tiksi,RU,71.6872,128.8694,-29.85,100,80,3.71,broken clouds
98,Coquimbo,CL,-29.9533,-71.3436,62.33,100,75,4.61,broken clouds
99,Camacha,PT,33.0833,-16.3333,62.02,77,40,5.75,scattered clouds
100,Aden,YE,12.7794,45.0367,77.76,73,15,10.04,few clouds
101,Hanmer Springs,NZ,-42.5167,172.8167,73.22,32,22,12.68,few clouds
102,Padang,ID,-0.9492,100.3543,80.65,74,45,1.36,scattered clouds
103,Biharamulo,TZ,-2.6319,31.3089,59.81,94,100,2.57,overcast clouds
104,Stilfontein,ZA,-26.8449,26.7683,63.18,80,4,5.88,clear sky
105,Rock Sound,BS,24.9,-76.2,76.3,72,4,10.65,clear sky
106,Torbay,CA,47.6666,-52.7314,38.75,96,100,13.8,mist
107,Matara,LK,5.9485,80.5353,77.85,87,100,11.9,moderate rain
108,Montlucon,FR,46.3333,2.6,28.71,93,70,1.01,broken clouds
109,Kaitangata,NZ,-46.2817,169.8464,58.96,82,57,7.38,broken clouds
110,Aswan,EG,24.0934,32.907,64.13,33,0,10.13,clear sky
111,Paris,FR,48.8534,2.3488,34.14,94,100,8.05,mist
112,Hobart,AU,-42.8794,147.3294,64.22,65,75,6.91,broken clouds
113,Yellowknife,CA,62.456,-114.3525,0.54,99,100,2.28,overcast clouds
114,Beroroha,MG,-21.6667,45.1667,77.47,56,2,9.26,clear sky
115,Saint George,US,37.1041,-113.5841,46.8,54,0,4.61,clear sky
116,Simplicio Mendes,BR,-7.8539,-41.9103,80.96,38,81,1.54,broken clouds
117,Hirara,JP,24.8,125.2833,74.61,74,14,20.36,few clouds
118,Luau,AO,-10.7073,22.2247,63.05,97,100,1.97,overcast clouds
119,Waterloo,CA,43.4668,-80.5164,30.47,92,91,5.99,overcast clouds
120,Ler,SS,8.3018,30.1418,77.13,38,78,5.55,broken clouds
121,Souillac,MU,-20.5167,57.5167,75.58,85,22,9.35,few clouds
122,Kukushtan,RU,57.6464,56.4952,13.62,91,100,8.97,light snow
123,Adrar,MR,20.5022,-10.0711,75.25,15,9,7.29,clear sky
124,Great Yarmouth,GB,52.6083,1.7305,32.25,87,6,8.77,clear sky
125,Kovernino,RU,57.1253,43.8142,24.73,96,100,7.14,light snow
126,Luganville,VU,-15.5333,167.1667,86.54,66,96,7.9,overcast clouds
127,Cape Town,ZA,-33.9258,18.4232,68.09,86,0,4.0,clear sky
128,Meulaboh,ID,4.1363,96.1285,78.21,76,100,2.59,overcast clouds
129,High Rock,BS,26.6208,-78.2833,73.42,70,0,10.67,clear sky
130,Sernovodsk,RU,43.3117,45.1594,32.56,94,15,3.58,few clouds
131,Saint-Pierre,RE,-21.3393,55.4781,76.91,83,20,11.5,few clouds
132,Chapais,CA,49.7834,-74.8492,-7.64,98,11,5.39,few clouds
